mav_type,airframe_name,log_id,log_date,file_size_bytes,px4_duration_s,px4_logged_errors,px4_logged_warnings,wall_clock_s,overall_score,letter_grade,score_label,num_findings,analysers_ran,analysers_skipped
Quadrotor,Generic Quadcopter,e159e728-6a7c-4d8d-a975-4da6b6a67f88,2017-01-16,41879148,598,0,15,1.55,95.0,A,Excellent,3,ekf|battery|gps|parameters,ascent_profile|oscillation|vibration|motors
Quadrotor,Generic Quadcopter,0c94b99c-110f-4c69-85ea-689d2a14fa09,2026-04-15,28031984,617,1,9,0.51,61.2,D,Caution,19,oscillation|vibration|ekf|battery|parameters,gps|motors|ascent_profile
Quadrotor,SIH Quadcopter X,99301e50-f46e-4d69-b383-0139bdb6410b,2020-09-03,20513809,390,0,3,3.03,76.9,C,Good,13,oscillation|vibration|ekf|gps|parameters,ascent_profile|battery|motors
Hexarotor,Generic Hexarotor x geometry,299e6eb3-6783-4bc4-bfc9-09a3a8347012,2020-09-04,7999488,204,0,1,2.47,89.7,B,Good,12,oscillation|ekf|battery|gps|parameters,ascent_profile|vibration|motors
Hexarotor,Generic Hexarotor x geometry,e7f7587c-1c6f-498b-94d3-94a75a9853bb,2025-10-14,22584934,516,11,75,0.43,36.6,F,Critical,43,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
Fixed Wing,Generic Standard Plane,dbcbd537-a74f-497e-bf1c-d66988abb51f,2025-07-22,22238122,511,0,0,1.25,66.3,D,Caution,16,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
Fixed Wing,Generic Standard Plane,7a072156-15e6-4f67-9ea3-c26b5f38acf2,2024-01-28,11883161,317,0,1,2.68,81.2,B,Good,10,oscillation|vibration|ekf|battery|gps|parameters|motors,ascent_profile
VTOL Standard,Generic Standard VTOL,4d3756f3-de96-4d4f-8805-d86d8fb6eb47,2024-05-12,45826342,1214,0,3,0.83,64.1,D,Caution,16,oscillation|vibration|ekf|gps|parameters,ascent_profile|battery|motors
VTOL Standard,Generic Standard VTOL,f584542e-6aba-427e-92e4-ad9c47643912,2024-08-07,24210218,215,0,0,1.71,78.9,C,Good,16,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
Octorotor,Generic Octocopter X geometry,67de104c-e6ac-4927-a322-5027fa85aae5,2025-02-16,13133929,316,0,2,0.25,83.9,B,Good,14,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
Tiltrotor VTOL,Generic Quadplane VTOL Tiltrotor,950c4194-6562-4193-95d9-64d3d71f3d35,2024-04-27,24747829,218,0,17,1.3,58.7,E,Warning,31,oscillation|vibration|ekf|battery|gps|parameters,ascent_profile|motors
